Name,Formula,ChEBI,Molecular_weight,Ontology,Uptake_significance,week3_1,week3_2,week3_3,week3_4,week6_1,week6_2,week6_3,week6_4,week9_1,week9_2,week9_3,week9_4,week12_1,week12_2,week12_3,week12_4
2-aminoisobutyric acid ,C4H9NO2,27971,103.1198,amino acid,yes,1.35E+07,1.73E+07,1.92E+07,2.18E+07,2.63E+07,2.82E+07,2.51E+07,3.18E+07,2.08E+07,2.12E+07,1.99E+07,2.81E+07,1.30E+07,1.43E+07,1.81E+07,1.09E+07
"2,3-Dihydroxybenzoic acid",C7H6O4,18026,154.1201,organic acid,no,1.56E+08,7.28E+07,6.53E+07,7.77E+07,1.30E+08,3.25E+07,8.11E+07,4.77E+07,9.53E+07,5.84E+07,3.93E+07,2.29E+08,3.62E+07,4.69E+07,2.69E+07,1.45E+07
3-Dehydroshikimic acid,C7H8O5,30918,172.1354,organic acid,yes,1.92E+06,2.24E+06,2.57E+06,2.06E+06,2.10E+06,2.19E+06,2.49E+06,2.33E+06,3.24E+06,1.80E+06,1.96E+06,3.68E+06,48500,2.17E+06,2.04E+06,37600
5-aminovaleric acid,C5H11NO2,15887,117.14638,amino acid,yes,350000,219000,144000,222000,448000,452000,443000,682000,998000,754000,582000,1.84E+06,16500,258000,426000,218000
abscisic acid,C15H20O4 ,2365,264.3169,organic acid,no,789000,746000,275000,1.07E+06,1.15E+06,880000,365000,1.50E+06,1.58E+06,1.22E+06,680000,1.33E+06,3.19E+06,3.72E+06,1.51E+06,2.90E+06
adenine,C5H5N5,16708,135.1269,nucleotide,no,3.04E+09,4.00E+09,2.61E+09,1.92E+09,7.04E+09,6.46E+09,6.87E+09,6.66E+09,4.17E+09,3.91E+09,8.16E+09,1.01E+10,3.01E+08,1.34E+08,5.66E+08,2.36E+08
adenosine,C10H13N5O4,16335,267.24152,nucleotide,no,1.91E+09,2.52E+09,1.99E+09,1.94E+09,1.79E+09,2.08E+09,1.55E+09,1.59E+09,8.85E+08,1.59E+09,1.25E+09,3.08E+09,2.84E+08,2.69E+08,7.86E+08,2.73E+08
alpha-alanine ,C3H7NO2,15570,89.09322,amino acid,no,2.60E+08,2.36E+08,2.97E+08,2.66E+08,1.47E+09,1.25E+09,1.01E+09,1.33E+09,6.26E+08,8.02E+08,1.18E+09,2.58E+09,3.03E+06,2.57E+06,1.70E+08,2.84E+07
alpha-ketoglutaric acid ,C5H6O5,30915,146.0981,organic acid,yes,1.08E+07,1.79E+06,1.09E+06,315000,2.45E+06,1.38E+06,1.59E+06,1.62E+06,1.17E+06,1.55E+06,741000,1.46E+07,21500,4910,4.65E+06,0
arginine,C6H14N4O2,29016,174.20112,amino acid,no,1.81E+09,4.69E+08,3.61E+08,3.96E+08,1.54E+09,1.73E+09,8.75E+08,1.12E+09,1.39E+09,1.81E+09,2.78E+09,4.58E+09,1.86E+07,7.53E+06,1.78E+08,9.87E+06
