concentration,BGE,r
1.0e-7,1.0e-15,0.06549511072213102
5.0e-7,0.2950949658610221,0.013971449720318873
1.0e-6,1.0e-15,0.12122894510222863
5.0e-6,1.0e-15,0.12854739484106945
1.0e-5,1.0e-15,0.11519944892609037
5.0e-5,1.0e-15,0.1042657891526541
0.0001,0.30614515226621164,0.016953043822647614
0.0005,0.34927158087609395,0.015925738480148086
0.001,0.21429002969651795,0.014845132197060594
0.005,0.30925566353394285,0.014634963372201184
0.01,0.3500652741401926,0.017071657571917993
0.05,0.3260284141554203,0.015564228617357552
0.1,0.12299581331576312,0.012627674572148508
0.5,0.21379497778887105,0.014214410858828928
0.1,1.0e-15,0.12567388152611955
1.0e-7,1.0e-15,0.10530395374943691
5.0e-7,1.0e-15,0.12062279514622215
1.0e-6,1.0e-15,0.05732636179872508
5.0e-6,1.0e-15,0.3038531708861258
1.0e-5,0.1671039426527401,0.01179519722442472
5.0e-5,1.0e-15,0.15956646929391669
0.0001,1.0e-15,0.06466272446443075
0.0005,1.0e-15,0.020085317977026285
0.001,0.13411461413508896,0.00871569800873329
0.005,0.09858320660801427,0.00796913827230521
0.01,1.0e-15,0.3237382855340204
0.05,1.0e-15,0.06598977885847082
0.1,0.08386468341948497,0.02364362064310109
0.5,0.33786552184323576,0.020197955473099025
0.1,1.0e-15,0.12431275474357625
1.0e-7,1.0e-15,0.13133561182149084
5.0e-7,0.0210569912465152,0.07072739413079958
1.0e-6,1.0e-15,0.10732840120338696
5.0e-6,0.35108503979137695,0.02244237417954687
1.0e-5,0.386595723533519,0.022056949153978107
5.0e-5,0.285916834876935,0.019580093129499154
0.0001,0.35247996817862526,0.020829545082466296
0.0005,0.38082978863806477,0.023657180800090903
0.001,0.3648983034318809,0.02199416069655096
0.005,0.2227925100259579,0.0170534951596154
0.01,0.28648136192474466,0.019069333271417233
0.05,1.0e-15,0.1285749413204421
0.1,1.0e-15,0.1081096963285345
0.5,1.0e-15,0.12322628031664433
0.1,0.10026939207292468,0.01850588748832288
1.0e-7,1.0e-15,0.3064638605181926
5.0e-7,0.2550492479544041,0.016588112352556587
1.0e-6,1.0e-15,0.1610443711999116
5.0e-6,0.02785969765944312,0.023767225416874854
1.0e-5,0.08260436848879461,0.024182552881864047
5.0e-5,0.21970310716496602,0.012470876634342674
0.0001,0.15107759578275295,0.011421322141883947
0.0005,1.0e-15,0.32542472744871914
0.001,0.11021677584102127,0.02527711922454622
0.005,1.0e-15,0.10884610806949338
0.01,0.2165880362786132,0.009155552731613411
0.05,1.0e-15,0.11911236251352883
0.1,1.0e-15,0.12663744519878203
0.5,1.0e-15,0.1128998519531017
0.1,1.0e-15,0.10218103800681112
1.0e-7,0.22732056902210981,0.012743069369408909
5.0e-7,0.2879066114906271,0.010795954585735444
1.0e-6,0.09535922716342901,0.011286120367118782
5.0e-6,0.2382803662452936,0.009723528894061913
1.0e-5,0.297165242680316,0.01161606441402359
5.0e-5,0.26180383302772947,0.010425417823388168
0.0001,1.0e-15,0.01613768665745072
0.0005,0.09445707959189129,0.010596473557266374
0.001,1.0e-15,0.12368507874909784
0.005,1.0e-15,0.10338977208628339
0.01,1.0e-15,0.11884710643176791
0.05,1.0e-15,0.0976413442512904
0.1,1.0e-15,0.30209067858742294
0.5,0.0419524184262732,0.0132427897098855
0.1,1.0e-15,0.15855233300834443
1.0e-7,1.0e-15,0.10707534091795648
5.0e-7,1.0e-15,0.061023896218931256
1.0e-6,0.10051166138879548,0.006427501217341522
5.0e-6,0.07886876861401099,0.005912791692617341
1.0e-5,1.0e-15,0.3225966902476344
5.0e-5,1.0e-15,0.10822792838743384
0.0001,0.43420200782592,0.08896533243812278
0.0005,0.4684141901864475,0.10475170426889574
0.001,0.404599575196414,0.0792304862630141
0.005,0.3704270469227844,0.07091759147637439
0.01,0.42446726424881853,0.08536737176681758
0.05,0.368497781154037,0.06835443738639874
0.1,0.4694963800416302,0.09966397268240068
0.5,0.47214098115301767,0.07775661364407685
0.1,0.4633444857976988,0.10338762938332899
1.0e-7,0.47251836797623875,0.12125682051672476
5.0e-7,0.4730051148707513,0.0871033894040928
1.0e-6,0.47246168195357596,0.11015953241889763
5.0e-6,0.45615798834176696,0.1023052342751542
1.0e-5,0.46372792568322796,0.10784901292880861
5.0e-5,0.3853586000380291,0.07428897514997275
0.0001,0.3130690456699642,0.05889290423927392
0.0005,0.3205671972833438,0.07072246407762997
0.001,0.43795485764399367,0.09400497643459635
0.005,0.29296245143445065,0.060195412962593814
0.01,0.4599413737353496,0.11103701176615632
0.05,1.0e-15,0.19546523374112032
0.1,0.4323362062792745,0.0898484319840713
0.5,0.4383245877373907,0.0919107442355431
0.1,0.46722927571646533,0.06577814089257052
1.0e-7,0.4643744621634971,0.05346870232811663
5.0e-7,0.09748212677574097,0.1105691685163615
1.0e-6,0.43623247480283567,0.0886404944192295
5.0e-6,0.14459321223582602,0.025925229146103457
1.0e-5,0.36052858084573075,0.023834946951144863
5.0e-5,1.0e-15,0.07480453235249687
0.0001,1.0e-15,0.13294954209350343
0.0005,0.07918362455833795,0.025081713220617023
0.001,1.0e-15,0.10910027901042177
