concentration,BGE,r
1.0e-7,0.0,0.027559429170376834
1.0e-7,0.2950949658610221,0.0011002112085603721
1.0e-7,0.0,0.044379960969963356
1.0e-7,0.0,0.044277307012217035
1.0e-7,0.0,0.03684048433213666
1.0e-7,0.0,0.015230403365671972
1.0e-7,0.30614515226621164,0.0029553503969845948
1.0e-7,0.34927158087609395,0.005973755821229087
1.0e-7,0.21429002969651795,0.005434563395267752
1.0e-7,0.30925566353394285,0.002392896095808844
1.0e-7,0.3500652741401926,0.0036943793578140915
1.0e-7,0.3260284141554203,0.0020957473078755577
1.0e-7,0.12299581331576312,0.003567668848793004
1.0e-7,0.21379497778887105,0.004280848786521064
1.0e-7,0.0,0.03867927160469329
1.0e-7,0.0,0.026333058589120988
1.0e-7,0.0,0.031613980021570974
1.0e-7,0.0,0.01319825306989334
1.0e-7,0.0,0.026119394658249778
1.0e-7,0.1671039426527401,0.0006806749016793923
1.0e-7,0.0,0.0676229402206078
1.0e-7,0.0,0.02374972069174561
1.0e-7,0.0,0.00572295525642642
1.0e-7,0.13411461413508896,0.003300699752459899
1.0e-7,0.09858320660801427,0.0032479127450357206
1.0e-7,0.0,0.0786210292127808
1.0e-7,0.0,0.033043418561733276
1.0e-7,0.08386468341948497,0.00994890582305138
1.0e-7,0.33786552184323576,0.0015905305065936767
1.0e-7,0.0,0.04550889392740512
1.0e-7,0.0,0.04523769006324214
1.0e-7,0.0210569912465152,0.022618436803463326
1.0e-7,0.0,0.015677767906470078
1.0e-7,0.35108503979137695,0.003912281483764987
1.0e-7,0.386595723533519,0.0082735773020119
1.0e-7,0.285916834876935,0.007167956201735895
1.0e-7,0.35247996817862526,0.0034057438913706853
1.0e-7,0.38082978863806477,0.005119514613255712
1.0e-7,0.3648983034318809,0.0029615475461067095
1.0e-7,0.2227925100259579,0.004818086108917712
1.0e-7,0.28648136192474466,0.005742969793504171
1.0e-7,0.0,0.0395721451147928
1.0e-7,0.0,0.02703468261263267
1.0e-7,0.0,0.03229632640613625
1.0e-7,0.10026939207292468,0.004260612023686634
1.0e-7,0.0,0.02634381105196814
1.0e-7,0.2550492479544041,0.0009572634971496938
1.0e-7,0.0,0.06824926273487569
1.0e-7,0.02785969765944312,0.008729371828108358
1.0e-7,0.08260436848879461,0.006890389700943324
1.0e-7,0.21970310716496602,0.004722813867424859
1.0e-7,0.15107759578275295,0.004654889460093788
1.0e-7,0.0,0.0790305878129398
1.0e-7,0.11021677584102127,0.012657148501177303
1.0e-7,0.0,0.04580092426347734
1.0e-7,0.2165880362786132,0.0007209732660195772
1.0e-7,0.0,0.04360511423185976
1.0e-7,0.0,0.04361943738526746
1.0e-7,0.0,0.03610507919744742
1.0e-7,0.0,0.014925877776537954
1.0e-7,0.22732056902210981,0.0022214438606814927
1.0e-7,0.2879066114906271,0.004049570237050777
1.0e-7,0.09535922716342901,0.004131666583196491
1.0e-7,0.2382803662452936,0.0015898498504124162
1.0e-7,0.297165242680316,0.0025137657787137895
1.0e-7,0.26180383302772947,0.0014037985353464355
1.0e-7,0.0,0.004559344766957647
1.0e-7,0.09445707959189129,0.0031912614191006643
1.0e-7,0.0,0.038067167945234
1.0e-7,0.0,0.025854384654370347
1.0e-7,0.0,0.03114859047828245
