val,meas,response,concentration
0.0,BGE,positive,1.0e-7
0.2950949658610221,BGE,negative,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.30614515226621164,BGE,positive,1.0e-7
0.34927158087609395,BGE,positive,1.0e-7
0.21429002969651795,BGE,positive,1.0e-7
0.30925566353394285,BGE,negative,1.0e-7
0.3500652741401926,BGE,negative,1.0e-7
0.3260284141554203,BGE,negative,1.0e-7
0.12299581331576312,BGE,positive,1.0e-7
0.21379497778887105,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,negative,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,negative,1.0e-7
0.1671039426527401,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,negative,1.0e-7
0.0,BGE,negative,1.0e-7
0.13411461413508896,BGE,positive,1.0e-7
0.09858320660801427,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.08386468341948497,BGE,positive,1.0e-7
0.33786552184323576,BGE,negative,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0210569912465152,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.35108503979137695,BGE,positive,1.0e-7
0.386595723533519,BGE,positive,1.0e-7
0.285916834876935,BGE,positive,1.0e-7
0.35247996817862526,BGE,negative,1.0e-7
0.38082978863806477,BGE,negative,1.0e-7
0.3648983034318809,BGE,negative,1.0e-7
0.2227925100259579,BGE,positive,1.0e-7
0.28648136192474466,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,negative,1.0e-7
0.0,BGE,positive,1.0e-7
0.10026939207292468,BGE,positive,1.0e-7
0.0,BGE,negative,1.0e-7
0.2550492479544041,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.02785969765944312,BGE,negative,1.0e-7
0.08260436848879461,BGE,negative,1.0e-7
0.21970310716496602,BGE,positive,1.0e-7
0.15107759578275295,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.11021677584102127,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.2165880362786132,BGE,negative,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.22732056902210981,BGE,positive,1.0e-7
0.2879066114906271,BGE,positive,1.0e-7
0.09535922716342901,BGE,positive,1.0e-7
0.2382803662452936,BGE,negative,1.0e-7
0.297165242680316,BGE,negative,1.0e-7
0.26180383302772947,BGE,negative,1.0e-7
0.0,BGE,positive,1.0e-7
0.09445707959189129,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,negative,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,negative,1.0e-7
0.0419524184262732,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,negative,1.0e-7
0.0,BGE,negative,1.0e-7
0.10051166138879548,BGE,positive,1.0e-7
0.07886876861401099,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.43420200782592,BGE,positive,1.0e-7
0.4684141901864475,BGE,negative,1.0e-7
0.404599575196414,BGE,positive,1.0e-7
0.3704270469227844,BGE,positive,1.0e-7
0.42446726424881853,BGE,positive,1.0e-7
0.368497781154037,BGE,positive,1.0e-7
0.4694963800416302,BGE,positive,1.0e-7
0.47214098115301767,BGE,positive,1.0e-7
0.4633444857976988,BGE,positive,1.0e-7
0.47251836797623875,BGE,negative,1.0e-7
0.4730051148707513,BGE,negative,1.0e-7
0.47246168195357596,BGE,negative,1.0e-7
0.45615798834176696,BGE,positive,1.0e-7
0.46372792568322796,BGE,positive,1.0e-7
0.3853586000380291,BGE,positive,1.0e-7
0.3130690456699642,BGE,negative,1.0e-7
0.3205671972833438,BGE,positive,1.0e-7
0.43795485764399367,BGE,positive,1.0e-7
0.29296245143445065,BGE,negative,1.0e-7
0.4599413737353496,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.4323362062792745,BGE,negative,1.0e-7
0.4383245877373907,BGE,negative,1.0e-7
0.46722927571646533,BGE,positive,1.0e-7
0.4643744621634971,BGE,positive,1.0e-7
0.09748212677574097,BGE,positive,1.0e-7
0.43623247480283567,BGE,positive,1.0e-7
0.14459321223582602,BGE,positive,1.0e-7
0.36052858084573075,BGE,negative,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.07918362455833795,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.3670863230892664,BGE,positive,1.0e-7
0.40138445882105256,BGE,positive,1.0e-7
0.3155520460566219,BGE,positive,1.0e-7
0.37284324379694506,BGE,negative,1.0e-7
0.3965667868969961,BGE,negative,1.0e-7
0.38319418745387235,BGE,negative,1.0e-7
0.2608183938873982,BGE,positive,1.0e-7
0.31434114420903103,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.0,BGE,negative,1.0e-7
0.0,BGE,positive,1.0e-7
0.15955776053112083,BGE,positive,1.0e-7
0.0,BGE,negative,1.0e-7
0.28783327985616347,BGE,positive,1.0e-7
0.0,BGE,positive,1.0e-7
0.09842616021519729,BGE,negative,1.0e-7
0.14829892973996894,BGE,negative,1.0e-7
