concentration,BGE,response
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.30614515226621164,positive
1.0e-7,0.34927158087609395,positive
1.0e-7,0.21429002969651795,positive
1.0e-7,0.12299581331576312,positive
1.0e-7,0.21379497778887105,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.1671039426527401,positive
1.0e-7,0.0,positive
1.0e-7,0.13411461413508896,positive
1.0e-7,0.09858320660801427,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.08386468341948497,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.0210569912465152,positive
1.0e-7,0.0,positive
1.0e-7,0.35108503979137695,positive
1.0e-7,0.386595723533519,positive
1.0e-7,0.285916834876935,positive
1.0e-7,0.2227925100259579,positive
1.0e-7,0.28648136192474466,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.10026939207292468,positive
1.0e-7,0.2550492479544041,positive
1.0e-7,0.0,positive
1.0e-7,0.21970310716496602,positive
1.0e-7,0.15107759578275295,positive
1.0e-7,0.0,positive
1.0e-7,0.11021677584102127,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.22732056902210981,positive
1.0e-7,0.2879066114906271,positive
1.0e-7,0.09535922716342901,positive
1.0e-7,0.0,positive
1.0e-7,0.09445707959189129,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.0419524184262732,positive
1.0e-7,0.0,positive
1.0e-7,0.10051166138879548,positive
1.0e-7,0.07886876861401099,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.43420200782592,positive
1.0e-7,0.404599575196414,positive
1.0e-7,0.3704270469227844,positive
1.0e-7,0.42446726424881853,positive
1.0e-7,0.368497781154037,positive
1.0e-7,0.4694963800416302,positive
1.0e-7,0.47214098115301767,positive
1.0e-7,0.4633444857976988,positive
1.0e-7,0.45615798834176696,positive
1.0e-7,0.46372792568322796,positive
1.0e-7,0.3853586000380291,positive
1.0e-7,0.3205671972833438,positive
1.0e-7,0.43795485764399367,positive
1.0e-7,0.4599413737353496,positive
1.0e-7,0.0,positive
1.0e-7,0.46722927571646533,positive
1.0e-7,0.4643744621634971,positive
1.0e-7,0.09748212677574097,positive
1.0e-7,0.43623247480283567,positive
1.0e-7,0.14459321223582602,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.07918362455833795,positive
1.0e-7,0.0,positive
1.0e-7,0.3670863230892664,positive
1.0e-7,0.40138445882105256,positive
1.0e-7,0.3155520460566219,positive
1.0e-7,0.2608183938873982,positive
1.0e-7,0.31434114420903103,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.15955776053112083,positive
1.0e-7,0.28783327985616347,positive
1.0e-7,0.0,positive
1.0e-7,0.28292856854915294,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.1632862366976308,positive
1.0e-7,0.0,positive
1.0e-7,0.14969982090763634,positive
1.0e-7,0.026248605671828493,positive
1.0e-7,0.22246642874330136,positive
1.0e-7,0.0028236162067078316,positive
1.0e-7,0.4050810701511841,positive
1.0e-7,0.4232242843422603,positive
1.0e-7,0.37514254663953267,positive
1.0e-7,0.3406932369154758,positive
1.0e-7,0.0,positive
1.0e-7,0.08254478920944244,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.34855432699429534,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.0,positive
1.0e-7,0.27621156779812817,positive
1.0e-7,0.2950949658610221,negative
1.0e-7,0.30925566353394285,negative
1.0e-7,0.3500652741401926,negative
1.0e-7,0.3260284141554203,negative
1.0e-7,0.0,negative
1.0e-7,0.0,negative
1.0e-7,0.0,negative
1.0e-7,0.0,negative
1.0e-7,0.33786552184323576,negative
1.0e-7,0.35247996817862526,negative
1.0e-7,0.38082978863806477,negative
1.0e-7,0.3648983034318809,negative
1.0e-7,0.0,negative
1.0e-7,0.0,negative
1.0e-7,0.02785969765944312,negative
1.0e-7,0.08260436848879461,negative
1.0e-7,0.2165880362786132,negative
1.0e-7,0.2382803662452936,negative
1.0e-7,0.297165242680316,negative
1.0e-7,0.26180383302772947,negative
1.0e-7,0.0,negative
1.0e-7,0.0,negative
1.0e-7,0.0,negative
1.0e-7,0.0,negative
1.0e-7,0.4684141901864475,negative
1.0e-7,0.47251836797623875,negative
1.0e-7,0.4730051148707513,negative
1.0e-7,0.47246168195357596,negative
1.0e-7,0.3130690456699642,negative
1.0e-7,0.29296245143445065,negative
1.0e-7,0.4323362062792745,negative
1.0e-7,0.4383245877373907,negative
1.0e-7,0.36052858084573075,negative
1.0e-7,0.37284324379694506,negative
1.0e-7,0.3965667868969961,negative
1.0e-7,0.38319418745387235,negative
1.0e-7,0.0,negative
1.0e-7,0.0,negative
1.0e-7,0.09842616021519729,negative
1.0e-7,0.14829892973996894,negative
1.0e-7,0.40335455275842147,negative
1.0e-7,0.0,negative
1.0e-7,0.0,negative
1.0e-7,0.4172198036328715,negative
1.0e-7,0.0,negative
1.0e-7,0.0,negative
1.0e-7,0.0,negative
1.0e-7,0.25919327137594356,negative
