V_cell,min_gentime,transporter_density,K,V_max
3.0000202804941352e-21,1.701501958852659,0.0011555391884364872,3.742339457750197e-5,2.0886853394475224e-5
4.153489324434922e-21,3.6670507252193736,0.0004776875805102328,3.5075879412993604e-5,8.938994622841285e-6
5.632010697273777e-21,4.179751524686939,0.00038992136766238594,3.4882281121730084e-5,7.497983529192114e-6
7.498295143215426e-21,0.4879399051876062,0.002933617565960358,4.8068463329795586e-5,5.7631780179900573e-5
9.822282287144428e-21,2.4417990662925417,0.0005524022188109575,3.616031144530973e-5,1.1035878160545641e-5
1.2681479466402159e-20,1.8949583956524496,0.0006689707975162667,3.7145056760500926e-5,1.3541323551337537e-5
1.6161295879582132e-20,7.565922053887118,0.0001626053922139711,3.414403304759079e-5,3.3251733947670305e-6
2.035537237090196e-20,0.8793625992524591,0.0013245142500961959,4.2516592228590405e-5,2.7297742193877713e-5
2.5365907131529782e-20,0.6476928858505075,0.0017382442283459133,4.641086553980402e-5,3.603509137369735e-5
3.130397756803641e-20,4.762083093686118,0.00023545173761642748,3.5008472364542054e-5,4.901885604414686e-6
3.8289858561713626e-20,0.3036907819522646,0.0035282693946274207,6.413294982461074e-5,7.36694532122306e-5
4.645333731993167e-20,0.7414165319461824,0.0014226811268972749,4.642886662799664e-5,2.9758276039433518e-5
5.593402500129285e-20,2.732120355037135,0.0003819854475671057,3.688601451521216e-5,7.996589147086884e-6
6.688166527952626e-20,2.4684439719422273,0.0004179268062500182,3.7501365359318875e-5,8.748986545953076e-6
7.945643999641724e-20,2.5495052886450056,0.00040069863623608075,3.756982473494063e-5,8.38230893429365e-6
9.382927204122622e-20,2.494297796920058,0.00040899393627202244,3.792470751285414e-5,8.544318871780175e-6
1.1018212558274289e-19,3.1907309517932303,0.0003194013598444,3.706985303992535e-5,6.659921617694295e-6
1.2870830377011092e-19,5.141075217664432,0.0002013207138233019,3.5725242558374984e-5,4.187687543988599e-6
